url	failed_classes
https://stotra.vastucart.in/deity/dattatreya	I,O
https://stotra.vastucart.in/day/thursday	I
https://stotra.vastucart.in/deity/ayyappa	I,O
https://stotra.vastucart.in/day/saturday	I
https://stotra.vastucart.in/day/wednesday	I
https://stotra.vastucart.in/day/friday	I
https://stotra.vastucart.in/day/sunday	I
https://stotra.vastucart.in/deity/bhairava	I,O
https://stotra.vastucart.in/deity/dhanvantari	I,O
https://stotra.vastucart.in/deity/agni	I,O
https://stotra.vastucart.in/deity	I
https://stotra.vastucart.in/deity/ganesha	I,O
https://stotra.vastucart.in/	D,H,I,O
https://stotra.vastucart.in/deity/hanuman	I,O
https://stotra.vastucart.in/day	I
https://stotra.vastucart.in/deity/kali	I,O
https://stotra.vastucart.in/deity/gayatri	I,O
https://stotra.vastucart.in/deity/ganga	I,O
https://stotra.vastucart.in/deity/indra	I,O
https://stotra.vastucart.in/deity/krishna	I,O
https://stotra.vastucart.in/deity/rama	I,O
https://stotra.vastucart.in/deity/lakshmi	I,O
https://stotra.vastucart.in/deity/saibaba	I,O
https://stotra.vastucart.in/day/monday	I
https://stotra.vastucart.in/deity/kartikeya	I,O
https://stotra.vastucart.in/deity/savitri	I,O
https://stotra.vastucart.in/deity/jagannath	I,O
https://stotra.vastucart.in/deity/shani	I,O
https://stotra.vastucart.in/deity/kubera	I,O
https://stotra.vastucart.in/deity/saraswati	I,O
https://stotra.vastucart.in/deity/navagraha	I,O
https://stotra.vastucart.in/day/tuesday	I
https://stotra.vastucart.in/deity/radha	I,O
https://stotra.vastucart.in/deity/surya	I,O
https://stotra.vastucart.in/deity/shiva	I,O
https://stotra.vastucart.in/deity/brahma	I,O
https://stotra.vastucart.in/deity/vitthal	I,O
https://stotra.vastucart.in/disclaimer	H
https://stotra.vastucart.in/editorial-process	I,O
https://stotra.vastucart.in/deity/sita	I,O
https://stotra.vastucart.in/festival/akshaya-tritiya	I
https://stotra.vastucart.in/deity/yama	I,O
https://stotra.vastucart.in/festival/dev-deepawali	I
https://stotra.vastucart.in/festival/chhath-puja	I
https://stotra.vastucart.in/festival/gita-jayanti	I
https://stotra.vastucart.in/festival/ekadashi	I
https://stotra.vastucart.in/festival/amavasya	I
https://stotra.vastucart.in/deity/vayu	I,O
https://stotra.vastucart.in/festival/ganesh-chaturthi	I
https://stotra.vastucart.in/festival/dattatreya-jayanti	I
https://stotra.vastucart.in/festival/diwali	I
https://stotra.vastucart.in/deity/parvati	I,O
https://stotra.vastucart.in/festival	I
https://stotra.vastucart.in/deity/narasimha	I,O
https://stotra.vastucart.in/festival/holika-dahan	I
https://stotra.vastucart.in/festival/karva-chauth	I
https://stotra.vastucart.in/festival/dussehra	I
https://stotra.vastucart.in/festival/guru-purnima	I
https://stotra.vastucart.in/festival/govardhan-puja	I
https://stotra.vastucart.in/festival/kartik-purnima	I
https://stotra.vastucart.in/festival/maha-navami	I
https://stotra.vastucart.in/festival/purnima	I
https://stotra.vastucart.in/festival/maha-shivaratri	I
https://stotra.vastucart.in/festival/pradosha	I
https://stotra.vastucart.in/festival/dhanteras	I
https://stotra.vastucart.in/festival/narasimha-jayanti	I
https://stotra.vastucart.in/festival/holi	I
https://stotra.vastucart.in/deity/durga	I,O
https://stotra.vastucart.in/festival/skanda-shashthi	I
https://stotra.vastucart.in/festival/hanuman-jayanti	I
https://stotra.vastucart.in/festival/saraswati-puja	I
https://stotra.vastucart.in/festival/ram-navami	I
https://stotra.vastucart.in/festival/nag-panchami	I
https://stotra.vastucart.in/festival/tulsi-vivah	I
https://stotra.vastucart.in/festival/anant-chaturdashi	I
https://stotra.vastucart.in/festival/ratha-saptami	I
https://stotra.vastucart.in/festival/vaikuntha-ekadashi	I
https://stotra.vastucart.in/festival/raksha-bandhan	I
https://stotra.vastucart.in/festival/vat-savitri	I
https://stotra.vastucart.in/gita	I,O
https://stotra.vastucart.in/gita/chapter-1/verse-10	I
https://stotra.vastucart.in/festival/sharad-purnima	I
https://stotra.vastucart.in/festival/vivaha-panchami	I
https://stotra.vastucart.in/gita/chapter-1/verse-14	I
https://stotra.vastucart.in/gita/chapter-1/verse-12	I
https://stotra.vastucart.in/festival/janmashtami	I
https://stotra.vastucart.in/deity/vishnu	I,O
https://stotra.vastucart.in/gita/chapter-1/verse-11	I
https://stotra.vastucart.in/gita/chapter-1/verse-13	I
https://stotra.vastucart.in/gita/chapter-1/verse-16	I
https://stotra.vastucart.in/festival/vasant-panchami	I
https://stotra.vastucart.in/gita/chapter-1/verse-17	I
https://stotra.vastucart.in/gita/chapter-1/verse-23	I
https://stotra.vastucart.in/gita/chapter-1	I,O
https://stotra.vastucart.in/gita/chapter-1/verse-20	I
https://stotra.vastucart.in/gita/chapter-1/verse-21	I
https://stotra.vastucart.in/gita/chapter-1/verse-19	I
https://stotra.vastucart.in/gita/chapter-1/verse-2	I
https://stotra.vastucart.in/gita/chapter-1/verse-24	I
https://stotra.vastucart.in/gita/chapter-1/verse-27	I
https://stotra.vastucart.in/gita/chapter-1/verse-1	I
https://stotra.vastucart.in/gita/chapter-1/verse-28	I
https://stotra.vastucart.in/gita/chapter-1/verse-29	I
https://stotra.vastucart.in/gita/chapter-1/verse-18	I
https://stotra.vastucart.in/gita/chapter-1/verse-30	I
https://stotra.vastucart.in/gita/chapter-1/verse-26	I
https://stotra.vastucart.in/gita/chapter-1/verse-34	I
https://stotra.vastucart.in/gita/chapter-1/verse-22	I
https://stotra.vastucart.in/gita/chapter-1/verse-31	I
https://stotra.vastucart.in/gita/chapter-1/verse-15	I
https://stotra.vastucart.in/gita/chapter-1/verse-37	I
https://stotra.vastucart.in/gita/chapter-1/verse-38	I
https://stotra.vastucart.in/gita/chapter-1/verse-39	I
https://stotra.vastucart.in/gita/chapter-1/verse-33	I
https://stotra.vastucart.in/gita/chapter-1/verse-36	I
https://stotra.vastucart.in/gita/chapter-1/verse-44	I
https://stotra.vastucart.in/gita/chapter-1/verse-42	I
https://stotra.vastucart.in/gita/chapter-1/verse-35	I
https://stotra.vastucart.in/festival/navratri	I
https://stotra.vastucart.in/gita/chapter-1/verse-25	I
https://stotra.vastucart.in/gita/chapter-1/verse-41	I
https://stotra.vastucart.in/gita/chapter-1/verse-3	I
https://stotra.vastucart.in/festival/makar-sankranti	I
https://stotra.vastucart.in/gita/chapter-1/verse-43	I
https://stotra.vastucart.in/gita/chapter-1/verse-7	I
https://stotra.vastucart.in/gita/chapter-1/verse-40	I
https://stotra.vastucart.in/gita/chapter-1/verse-32	I
https://stotra.vastucart.in/gita/chapter-1/verse-5	I
https://stotra.vastucart.in/gita/chapter-1/verse-45	I
https://stotra.vastucart.in/gita/chapter-10/verse-1	I
https://stotra.vastucart.in/gita/chapter-1/verse-47	I
https://stotra.vastucart.in/gita/chapter-1/verse-46	I
https://stotra.vastucart.in/gita/chapter-1/verse-4	I
https://stotra.vastucart.in/gita/chapter-10/verse-15	I
https://stotra.vastucart.in/gita/chapter-1/verse-6	I
https://stotra.vastucart.in/gita/chapter-10/verse-12	I
https://stotra.vastucart.in/gita/chapter-10/verse-14	I
https://stotra.vastucart.in/gita/chapter-10/verse-17	I
https://stotra.vastucart.in/gita/chapter-10/verse-10	I
https://stotra.vastucart.in/gita/chapter-1/verse-8	I
https://stotra.vastucart.in/gita/chapter-10/verse-24	I
https://stotra.vastucart.in/gita/chapter-10/verse-21	I
https://stotra.vastucart.in/gita/chapter-10/verse-18	I
https://stotra.vastucart.in/gita/chapter-10/verse-2	I
https://stotra.vastucart.in/gita/chapter-10/verse-22	I
https://stotra.vastucart.in/gita/chapter-10/verse-11	I
https://stotra.vastucart.in/gita/chapter-10/verse-16	I
https://stotra.vastucart.in/gita/chapter-10/verse-19	I
https://stotra.vastucart.in/gita/chapter-10/verse-20	I
https://stotra.vastucart.in/gita/chapter-1/verse-9	I
https://stotra.vastucart.in/gita/chapter-10/verse-27	I
https://stotra.vastucart.in/gita/chapter-10/verse-23	I
https://stotra.vastucart.in/gita/chapter-10/verse-25	I
https://stotra.vastucart.in/gita/chapter-10/verse-3	I
https://stotra.vastucart.in/gita/chapter-10/verse-31	I
https://stotra.vastucart.in/gita/chapter-10/verse-26	I
https://stotra.vastucart.in/gita/chapter-10	I,O
https://stotra.vastucart.in/gita/chapter-10/verse-28	I
https://stotra.vastucart.in/gita/chapter-10/verse-38	I
https://stotra.vastucart.in/gita/chapter-10/verse-29	I
https://stotra.vastucart.in/gita/chapter-10/verse-30	I
https://stotra.vastucart.in/gita/chapter-10/verse-34	I
https://stotra.vastucart.in/gita/chapter-10/verse-4	I
https://stotra.vastucart.in/gita/chapter-10/verse-40	I
https://stotra.vastucart.in/gita/chapter-10/verse-42	I
https://stotra.vastucart.in/gita/chapter-10/verse-36	I
https://stotra.vastucart.in/gita/chapter-10/verse-32	I
https://stotra.vastucart.in/gita/chapter-10/verse-35	I
https://stotra.vastucart.in/gita/chapter-11	I,O
https://stotra.vastucart.in/gita/chapter-10/verse-9	I
https://stotra.vastucart.in/gita/chapter-10/verse-7	I
https://stotra.vastucart.in/gita/chapter-10/verse-41	I
https://stotra.vastucart.in/gita/chapter-10/verse-39	I
https://stotra.vastucart.in/gita/chapter-11/verse-13	I
https://stotra.vastucart.in/gita/chapter-10/verse-8	I
https://stotra.vastucart.in/gita/chapter-10/verse-37	I
https://stotra.vastucart.in/gita/chapter-10/verse-5	I
https://stotra.vastucart.in/gita/chapter-11/verse-10	I
https://stotra.vastucart.in/gita/chapter-11/verse-1	I
